population,value,rank,token,z_score,n_focal,n_comparison,focal_size,comparison_size
Joint,UN,1,social,3.0288972168592108,29,5,621,439
Joint,UN,2,opportunities,2.382798086849194,16,2,621,439
Joint,UN,3,promoting,2.3826492432259827,18,3,621,439
Joint,UN,4,change,2.216054444510565,13,1,621,439
Joint,UN,5,populations,2.142407501357427,24,0,621,439
Joint,UN,6,employment,1.6714530718008895,8,1,621,439
Joint,UN,7,israel,1.67043619961865,8,1,621,439
Joint,UN,8,society,1.5963402064367969,21,8,621,439
Joint,UN,9,reducing,1.4924567348771094,12,0,621,439
Joint,UN,10,improving,1.4794023369435367,8,0,621,439
Joint,UN,11,gaps,1.4284383356301993,11,0,621,439
Joint,UN,12,justice,1.3712578948127097,6,1,621,439
Joint,UN,13,field,1.3496289839970965,5,0,621,439
Joint,UN,14,quality,1.2556518587828094,4,0,621,439
Joint,UN,15,significant,1.2210317149575416,5,0,621,439
Joint,UN,16,poverty,1.1847306251138179,5,1,621,439
Joint,UN,17,disadvantaged,1.1785422713768496,7,0,621,439
Joint,UN,18,israeli,1.134265979132978,6,0,621,439
Joint,UN,19,arab,1.0965563716403357,6,0,621,439
Joint,UN,20,developing,1.0878487196201236,4,0,621,439
