population,value,rank,token,z_score,n_focal,n_comparison,focal_size,comparison_size
Ultra,BE,1,students,3.2176713418106955,54,0,918,467
Ultra,BE,2,children,2.423180246298583,22,2,918,467
Ultra,BE,3,give,2.016158841169185,17,2,918,467
Ultra,BE,4,education,1.9054276971318975,16,0,918,467
Ultra,BE,5,success,1.7553872261261498,11,0,918,467
Ultra,BE,6,love,1.7222653628726088,13,0,918,467
Ultra,BE,7,student,1.6776926463082051,16,3,918,467
Ultra,BE,8,child,1.6117830144071688,14,0,918,467
Ultra,BE,9,promote,1.6108747961280123,10,0,918,467
Ultra,BE,10,values,1.5766900814155695,11,0,918,467
Ultra,BE,11,generation,1.5706582042299273,14,0,918,467
Ultra,BE,12,skills,1.4518345880669965,8,0,918,467
Ultra,BE,13,emotional,1.429086516259853,11,0,918,467
Ultra,BE,14,social,1.404528308922417,9,1,918,467
Ultra,BE,15,every,1.401598422029005,9,0,918,467
Ultra,BE,16,life,1.3720828158386196,11,2,918,467
Ultra,BE,17,knowledge,1.3537039598364422,7,0,918,467
Ultra,BE,18,personal,1.2844525308772112,6,0,918,467
Ultra,BE,19,good,1.2674824755344314,16,4,918,467
Ultra,BE,20,advance,1.1731702741447807,5,0,918,467
